iter	RMSE
0	427621.6002
1	412559.8504
2	398886.0694
3	384878.7672
4	372636.253
5	361281.0073
6	350960.6885
7	342111.5701
8	333464.2482
9	326700.5323
10	319944.2773
11	314350.7148
12	309053.6612
13	304257.216
14	300864.2319
15	297299.6507
16	293991.8545
17	290813.4338
18	287951.9205
19	285160.6449
20	282775.0975
21	280676.1234
22	278942.4935
23	277247.547
24	275122.5066
25	273054.0263
26	271602.4857
27	270355.9773
28	269108.1015
29	267811.173
30	266567.8851
31	266438.522
32	265265.7639
33	264003.8694
34	263892.9805
35	262511.6345
36	261291.582
37	261196.6185
38	260496.3394
39	259293.8103
40	257728.1428
41	256846.3623
42	256771.354
43	255264.3794
44	254443.8217
45	253131.5068
46	252257.3442
47	251168.3855
48	250479.1762
49	249489.0451
50	249437.0789
51	248664.624
52	248136.4134
53	247263.6261
54	246184.3129
55	245803.6731
56	245055.9221
57	244459.9987
58	243604.2854
59	242744.3038
60	242140.018
61	241763.2943
62	241410.5385
63	241124.0556
64	240301.9105
65	239741.383
66	239244.2802
67	238069.0427
68	237827.6713
69	237244.2699
70	236186.9746
71	235216.6309
72	234760.7605
73	233972.1841
74	233269.3687
75	232882.1781
76	232503.183
77	231737.0887
78	231432.1584
79	230904.0012
80	230636.9201
81	230123.2609
82	229980.5891
83	229394.7619
84	229287.4075
85	228931.801
86	228915.8876
87	228677.1434
88	227739.4815
89	227020.9272
90	226789.7831
91	226593.5146
92	226150.7967
93	225334.5436
94	224932.5702
95	224754.6143
96	224333.8098
97	224041.6567
98	223768.3349
99	223573.4728
100	223077.7412
101	222690.8532
102	222213.039
103	221273.815
104	220844.4204
105	220315.5427
106	219695.2803
107	219518.3007
108	219178.4991
109	218654.363
110	218137.5762
111	217868.4828
112	217435.317
113	217137.6559
114	216708.7787
115	216016.6238
116	215813.9512
117	215091.6609
118	214454.531
119	214118.7211
120	213843.8323
121	213552.1927
122	213216.8901
123	212911.1582
124	212463.2456
125	211981.5406
126	211852.3513
127	211697.6204
128	211316.2331
129	210580.2176
130	209915.4133
131	209644.9294
132	209195.2948
133	208801.6245
134	208486.8611
135	208238.3325
136	208010.6293
137	207798.8305
138	207751.216
139	207339.5072
140	207104.5494
141	206852.9815
142	206665.1162
143	206522.6476
144	206178.1045
145	206002.7109
146	205787.5404
147	205414.3666
148	205253.6816
149	205132.2532
150	204715.699
151	204507.2446
152	203954.1392
153	203719.5901
154	203437.7984
155	203394.9408
156	203129.7746
157	202756.8246
158	202632.5895
159	202567.0986
160	202155.4399
161	201860.2949
162	201486.3192
163	201310.6683
164	201155.5736
165	201011.4641
166	200762.4923
167	200489.7497
168	199938.9333
169	199713.2691
170	199464.5684
171	199286.989
172	198590.2469
173	198402.027
174	198159.4845
175	198016.4258
176	197943.7337
177	197844.7796
178	197737.4553
179	197473.9116
180	197297.209
181	197123.752
182	196820.8881
183	196646.809
184	196462.7312
185	196337.3035
186	196233.9274
187	196095.6091
188	195657.2474
189	195447.7671
190	195206.6505
191	195088.5427
192	195006.6724
193	194811.966
194	194790.018
195	194431.7556
