iter	Passed	Remaining
0	364	364530
1	666	332804
2	838	278772
3	1002	249521
4	1166	232058
5	1343	222636
6	1489	211289
7	1672	207369
8	1845	203158
9	2007	198694
10	2174	195489
11	2362	194530
12	2527	191918
13	2716	191330
14	2894	190089
15	3055	187885
16	3204	185324
17	3355	183059
18	3579	184791
19	3795	185962
20	4038	188260
21	4260	189418
22	4478	190218
23	4721	192019
24	4929	192251
25	5136	192436
26	5319	191695
27	5501	190971
28	5716	191391
29	5946	192269
30	6114	191114
31	6213	187948
32	6351	186132
33	6545	185965
34	6662	183698
35	6849	183418
36	6990	181941
37	7083	179316
38	7323	180455
39	7556	181355
40	7749	181254
41	7968	181766
42	8041	178975
43	8244	179128
44	8470	179756
45	8672	179863
46	8878	180029
47	9022	178945
48	9222	178987
49	9428	179138
50	9571	178099
51	9800	178676
52	10000	178687
53	10206	178797
54	10410	178867
55	10578	178325
56	10776	178283
57	10973	178228
58	11141	177692
59	11344	177730
60	11557	177911
61	11765	178005
62	11985	178260
63	12168	177959
64	12371	177965
65	12585	178099
66	12789	178105
67	13006	178261
68	13207	178209
69	13436	178507
70	13651	178622
71	13882	178931
72	14062	178571
73	14259	178442
74	14464	178391
75	14689	178589
76	14911	178749
77	15071	178149
78	15271	178039
79	15474	177959
80	15694	178068
81	15881	177799
82	16060	177440
83	16260	177313
84	16444	177024
85	16629	176735
86	16728	175549
87	16901	175165
88	17073	174766
89	17247	174392
90	17412	173931
91	17643	174134
92	17862	174211
93	18039	173869
94	18212	173498
95	18414	173400
96	18642	173547
97	18853	173533
98	19020	173105
99	19232	173090
100	19440	173039
101	19628	172805
102	19807	172500
103	19973	172083
104	20171	171942
105	20391	171978
106	20625	172137
107	20817	171934
108	21193	173239
109	21321	172511
110	21435	171677
111	21552	170880
112	21660	170023
113	21798	169418
114	21968	169058
115	22150	168799
116	22317	168429
117	22511	168263
118	22706	168101
119	22901	167945
120	23024	167264
121	23238	167244
122	23457	167254
123	23677	167271
124	23893	167251
125	24018	166605
126	24218	166481
127	24393	166179
128	24607	166151
129	24825	166137
130	25039	166103
131	25247	166022
132	25464	165996
133	25668	165888
134	25874	165791
135	26054	165522
136	26208	165094
137	26382	164797
138	26578	164634
139	26795	164603
140	27003	164511
141	27201	164355
142	27407	164250
143	27625	164216
144	27814	164012
145	28012	163856
146	28165	163437
147	28279	162796
148	28486	162696
149	28682	162532
150	28913	162569
151	29061	162133
152	29275	162065
153	29487	161987
154	29693	161876
155	29917	161863
156	30104	161642
157	30308	161519
158	30514	161398
159	30711	161237
160	30917	161114
161	31102	160887
162	31304	160749
163	31510	160627
164	31725	160548
165	31931	160424
166	32098	160107
167	32258	159755
168	32470	159662
169	32692	159614
170	32879	159398
171	33043	159071
172	33218	158797
173	33430	158698
174	33642	158600
175	33819	158337
176	34038	158269
177	34214	158003
178	34355	157574
179	34529	157302
180	34750	157240
181	34949	157082
182	35090	156662
183	35288	156497
184	35472	156272
185	35667	156092
186	35844	155838
187	35985	155428
188	36202	155346
189	36422	155273
190	36630	155154
191	36833	155009
192	37012	154761
193	37142	154315
194	37275	153882
195	37400	153418
196	37604	153282
197	37773	153000
198	37970	152836
199	38117	152470
200	38259	152087
201	38385	151642
202	38580	151469
203	38793	151369
204	39015	151303
205	39197	151081
206	39405	150960
207	39610	150825
208	39820	150707
209	40017	150542
210	40217	150386
211	40421	150246
212	40632	150131
213	40832	149974
214	41019	149770
215	41221	149618
216	41427	149484
217	41644	149384
218	41862	149290
219	42017	148972
220	42232	148866
221	42456	148788
222	42671	148679
223	42895	148601
224	43095	148441
225	43305	148312
226	43540	148267
227	43768	148197
228	43935	147922
229	44106	147660
230	44317	147533
231	44518	147371
232	44704	147161
233	44914	147028
234	45095	146801
235	45302	146655
236	45462	146363
237	45667	146212
238	45855	146008
239	46040	145793
240	46250	145661
241	46444	145475
242	46652	145332
243	46850	145160
244	46992	144814
245	47170	144579
246	47399	144500
247	47594	144317
248	47791	144141
249	47997	143991
250	48183	143783
251	48389	143632
252	48568	143401
253	48796	143314
254	48990	143129
255	49205	143004
256	49392	142795
257	49588	142615
258	49785	142435
259	49964	142207
260	50150	141996
261	50337	141791
262	50517	141563
263	50704	141358
264	50952	141322
265	51119	141057
266	51343	140954
267	51546	140792
268	51767	140677
269	51977	140530
270	52170	140339
271	52369	140166
272	52579	140019
273	52780	139848
274	52977	139667
275	53196	139545
276	53395	139366
277	53577	139146
278	53760	138929
279	53927	138670
280	54112	138458
281	54324	138315
282	54440	137928
283	54663	137813
284	54904	137743
285	55097	137551
286	55312	137414
287	55525	137272
288	55733	137116
289	55935	136945
290	56103	136692
291	56307	136525
292	56512	136362
293	56732	136234
294	56919	136027
295	57129	135875
296	57331	135704
297	57538	135544
298	57722	135329
299	57896	135091
300	58105	134937
301	58318	134789
302	58527	134631
303	58733	134468
304	58947	134324
305	59142	134134
306	59296	133850
307	59496	133674
308	59701	133506
309	59896	133317
310	60080	133103
311	60297	132964
312	60496	132782
313	60715	132646
314	60868	132364
315	61077	132204
316	61284	132042
317	61492	131880
318	61680	131676
319	61893	131523
320	62079	131314
321	62279	131135
322	62473	130943
323	62626	130666
324	62841	130516
325	63046	130346
326	63231	130137
327	63445	129985
328	63660	129835
329	63870	129676
330	64069	129493
331	64278	129332
332	64480	129154
333	64678	128969
334	64889	128810
335	65099	128649
336	65309	128487
337	65521	128329
338	65714	128133
339	65926	127975
340	66145	127829
341	66366	127687
342	66489	127358
343	66686	127168
344	66811	126845
345	66955	126557
346	67172	126407
347	67392	126263
348	67605	126105
349	67837	125983
350	67985	125705
351	68206	125561
352	68410	125386
353	68592	125172
354	68762	124934
355	68964	124756
356	69135	124522
357	69317	124306
358	69542	124169
359	69781	124055
360	69951	123819
361	70157	123647
362	70387	123517
363	70587	123333
364	70815	123199
365	71031	123043
366	71235	122866
367	71438	122688
368	71635	122498
369	71861	122358
370	72041	122140
371	72247	121966
372	72472	121823
373	72635	121576
374	72826	121377
375	73075	121273
376	73318	121160
377	73515	120969
378	73712	120779
379	73874	120531
380	74083	120361
381	74293	120192
382	74505	120026
383	74658	119764
384	74876	119608
385	75069	119410
386	75233	119169
387	75457	119020
388	75658	118836
389	75846	118632
390	76037	118432
391	76241	118252
392	76457	118090
393	76676	117933
394	76884	117760
395	77107	117608
396	77305	117419
397	77525	117261
398	77709	117051
399	77887	116831
400	78063	116609
401	78274	116438
402	78457	116226
403	78655	116036
404	78863	115860
405	79056	115663
406	79279	115510
407	79652	115573
408	79833	115358
409	79960	115064
410	80080	114761
411	80209	114474
412	80363	114221
413	80525	113981
414	80714	113778
415	80881	113545
416	81040	113301
417	81160	113002
418	81344	112794
419	81509	112560
420	81702	112365
421	81878	112145
422	82053	111926
423	82249	111735
424	82459	111563
425	82667	111387
426	82845	111172
427	83049	110991
428	83265	110826
429	83435	110599
430	83633	110412
431	83850	110248
432	83981	109971
